,total_returns,total_mMTC_services_SI,total_URLLC_services_SI,number_of_active_consumers
0,190.576,94.9,68.33999999999999,32
1,217.26399999999998,103.50000000000001,81.25999999999999,31
2,246.272,118.19999999999999,91.47999999999998,29
3,300.12,143.6,111.80000000000001,32
4,374.32,182.1,137.3,33
5,363.98400000000004,193.09999999999997,122.06,28
6,556.7759999999998,279.7999999999999,197.84000000000003,34
7,593.8559999999999,306.1,205.54,32
8,751.0399999999997,394.59999999999997,254.60000000000008,33
9,771.3600000000001,420.1,250.89999999999998,30
10,903.8800000000001,472.4,308.2,30
11,968.9919999999997,506.6000000000001,330.28000000000003,28
12,1272.5359999999998,671.6000000000003,429.23999999999995,32
13,1064.72,566.6000000000001,355.79999999999995,24
14,1504.7200000000005,809.1999999999999,496.8,30
15,1561.904,829.2,523.36,28
16,1634.1039999999998,867.1,547.86,26
17,1942.9839999999992,1037.1000000000001,647.0600000000001,28
18,2126.1200000000003,1136.6000000000001,706.8,28
19,1995.68,1075.6000000000001,657.2,24
